epoch,train_loss,train_acc,val_loss,val_acc
1,1.3232412367946957,0.44888502751230813,1.1358830259460309,0.5359628770301624
2,1.0411010356250445,0.5855777584708949,1.0561043060019508,0.5893271461716937
3,0.9742269541538525,0.6235157833767738,0.9844992550785746,0.6148491879350348
4,0.8981523538305557,0.666087460179554,0.9783622482813151,0.6078886310904872
5,0.8520979320281421,0.6739067477555749,1.0255928768359315,0.5962877030162413
6,0.7792951665924419,0.7066319142774399,0.9456242054631705,0.6566125290023201
7,0.7597590422858165,0.7130031856356791,0.994252461153504,0.6102088167053364
8,0.7054376749587756,0.7321169997103968,0.9603805470079391,0.6473317865429234
9,0.6468674814117635,0.753547639733565,1.0305880341341767,0.617169373549884
10,0.6456476524019117,0.7515204170286707,1.0515356871478796,0.6194895591647331
11,0.5975976777083626,0.772951057051839,1.0399965264957631,0.6705336426914154
12,0.5658307020263054,0.789748045178106,1.1151235443810024,0.6241299303944315
13,0.5525050363849979,0.7949609035621199,1.0980783609669058,0.6612529002320185
14,0.4909884643803256,0.8175499565595135,1.205711727075953,0.654292343387471
15,0.4594565327793075,0.8337677381986678,1.1992498757944305,0.6519721577726219
16,0.4417515923208407,0.8398494063133507,1.3623955692326664,0.6032482598607889
17,0.4110469377510381,0.8459310744280336,1.3966656198634348,0.6380510440835266
18,0.3950432723168529,0.8543295684911671,1.400424714984584,0.6334106728538283
19,0.36009103788212354,0.8711265566174341,1.4632051865075415,0.6241299303944315
20,0.3380997592112378,0.878077034462786,1.5609991511723282,0.6310904872389791
