epoch,train_loss,train_acc,val_loss,val_acc
1,1.8506342640414708,0.2548508543295685,1.4925695890063753,0.3062645011600928
2,1.4195208110016668,0.3628728641760788,1.3758238045079525,0.42691415313225056
3,1.3014297670051735,0.4326672458731538,1.3668409599782143,0.419953596287703
4,1.2577311486532265,0.4593107442803359,1.2794914981328693,0.45707656612529
5,1.2247768395056837,0.47813495511149723,1.3038762835504838,0.43155452436194897
6,1.2146709774184703,0.492035910802201,1.283149645389371,0.4593967517401392
7,1.219966315373869,0.47494931943237767,1.2928946482886294,0.43155452436194897
8,1.1977627959556592,0.4934839270199826,1.283637728602593,0.4361948955916473
9,1.179713933218606,0.49666956269910223,1.2307583353635607,0.4779582366589327
10,1.1649450985134908,0.5134665508253693,1.259976387853689,0.4802784222737819
11,1.1549690525807266,0.5189690124529395,1.2744071093623432,0.48259860788863107
12,1.1587757741131024,0.5189690124529395,1.2758509520864818,0.45011600928074247
13,1.1595207230788607,0.5117289313640313,1.2136434355357406,0.4802784222737819
14,1.1288543144861858,0.5299739357080799,1.2192540840870267,0.4756380510440835
15,1.140181489070878,0.5276571097596293,1.2126152208399053,0.4965197215777262
16,1.1258214287850397,0.5343179843614249,1.1909861337834333,0.5127610208816705
17,1.1203419815931257,0.5412684622067767,1.2112697116736746,0.5220417633410673
18,1.1376226791740327,0.5230234578627281,1.204992561771809,0.5011600928074246
19,1.1182689852829155,0.5351867940920938,1.1895836458958495,0.505800464037123
20,1.0974862063894264,0.5418476686938893,1.2342330330762399,0.5081206496519721
